protein,drug,label,prediction
,CCC(=O)NC[C@@H]1CN(C2=C3C(=CN=C2)C=CC=C3)C(=O)[C@]12CCCN(S(=O)(=O)CC1(C#N)CC1)C2,-0.6549949,-0.12585689
,ClCC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,-0.95700246,0.56058246
,CN1C(=O)N(C2=C3C=CC=CC3=CN=C2)C(=O)C12CN(CC1=CC=CC=C1)C2,-0.47653577,-0.5473845
,CNC(=O)C1(N2Cc3ccc(Cl)cc3[C@@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,0.82758766,-0.07362421
,Clc1cccc(CC(=O)Nc2cnc3ccccn23)c1,-0.6824501,-0.3024981
,COc1cc2cncc(CC(=O)N(Cc3cccc(Cl)c3)c3ccc(N(C)C)cn3)c2cc1OC,-0.17452823,0.27771288
,O=C(Cc1cncc2ccccc12)N1CCCC[C@@H]1c1cncs1,-1.1011424,-0.7854418
,CCC(=O)Nc1ccc(cc1)N(Cc2ccccc2)C(=O)Nn3c4ccccc4nn3,1.6022737,-0.14221074
,OC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,-0.6824501,0.43312454
,Clc1ccc2c(c1)C(CNCc1cn(CC3CCOC3)nn1)(C(=O)Nc1cncc3ccccc13)CCO2,-0.6138121,-0.20668413
,c1ccc2c(c1)cncc2NC(=O)C3CCCc4c3cc(cc4)Cl,2.3639565,0.3537227
,C[C@@H](CO)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,0.15493454,0.19094178
,CN(C)c1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc23)cc1,-0.54517376,0.42868292
,O=C(Cc1cncc2ccccc12)N1CC[C@@](F)(c2ccccc2)C1,-1.0050489,-0.71260977
,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,-0.88836414,0.10044162
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(S(=O)(=O)CC1(C#N)CCS(=O)(=O)CC1)C2,0.5530353,0.30805385
,Cc1nc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)cs1,-0.064707406,0.28491294
,CNC(=O)CN1CC(C)(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2S1(=O)=O,0.4843973,0.3106717
,Clc1ccc2c(c1)C1(CN(S(=O)(=O)CC#N)C2)CCN(c2cncc3ccccc23)C1=O,0.003930601,0.27953035
,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(OC2CCC(=O)N2)c1,-1.3688308,-0.07413842
,Clc1ccc2c(c1)C(C(=O)N(C(=O)C=C)c1cncc3ccccc13)CO2,0.8962257,0.2519719
,c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(c(c4)F)Cl,2.2326064,0.2899263
,c1ccc(c(c1)NC(=O)Nc2cccc(c2)C(F)(F)F)Sc3ncc(s3)[N+](=O)[O-],2.4477248,-0.051736906
,CC(C)(C)c1ccc(N(C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C(=O)c2cn3ccccc3n2)cc1,-0.95700246,-0.22409286
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(S(=O)(=O)CC1(C#N)CNC1)C2,0.4843973,0.3057469
,Clc1ccc(C2NC(=O)N(c3cncc4ccccc34)C2=O)cc1Cl,-0.6824501,-0.23117025
,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,-0.47653577,-0.0040614754
,CCOc1cccc(CNC(=O)CN2C[C@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2)c1,0.6765837,0.37174982
,Cn1c(=O)ccn(c1=O)CC(=O)NC(c2cccc(c2)Cl)C(=O)Nc3cncc4c3cccc4,1.1722299,-0.27064264
,Clc1ccc2c(c1)C(C(=O)Nc1cnc3ccccn13)CNC2=O,-0.6138121,-0.019274458
,COc1ccccc1CC(=O)Nc1cncc2ccccc12,-1.0942785,-0.35718524
,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)c3ccc(cc3)C4(CCO4)C,1.1819053,-0.20979841
,CN(C)CCN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,-0.97759366,-0.084499255
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(C(=O)C1CC1)C2,0.14120694,0.3116808
,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CNS(C)(=O)=O)c1,-0.88836414,-0.0988334
,c1cc(cc(c1)CN2CCN(CC2)C(=O)CCl)CNC(=O)N3CCOCC3,0.82640743,-0.011159882
,COC(=O)CCSc1cc(Cl)ccc1N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,-0.88836414,0.24480851
,Clc1ccc2c(c1)[C@H](C(=O)Nc1cncc3ccccc13)CN([C@@H]1CCNC1=O)C2,-0.47653577,0.08956681
,Cc1cccc2[nH]c(CNC(=O)c3cncc4ccccc34)cc12,-0.84031767,-0.3716045
,CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,-0.63440335,-0.026177302
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(S(=O)(=O)N1CCOCC1)C2,0.5530353,0.29936552
,c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)N5CCN(CC5)CC(CO)(F)F,1.3310411,-0.103227034
,Clc1cccc(CC(=O)Nn2cnc3ccccc3c2=O)c1,-0.6824501,-0.08434726
,Fc1ccc2c(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)c4ccc(Cl)cc43)cncc2c1,0.14120694,-0.019381836
,CC(C)Oc1ccc(N(C(C(=O)NCCc2ccon2)c2cccnc2)C(=O)c2cocn2)cc1,-0.6138121,-0.4091078
,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)c4ccc(Cl)cc43)cncc2c1,0.41575897,0.20412324
,CS(=O)(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,-0.88836414,0.0432574
