Model,CI,Pearson,RMSE,Spearman,Protein,Ligand
BALM+PEFT,0.633033693,0.510124326,1.335108042,0.380651626,Random,Original
BALM,0.641019762,0.544966877,1.302293897,0.402136548,Random,Original
Baseline,0.624292016,0.364816427,1.488031745,0.361866203,Random,Original
BALM,0.669263124,0.517845631,1.361323953,0.481754515,Original,Random
BALM+PEFT,0.717624843,0.637301683,1.226673007,0.599200915,Original,Random
Baseline,0.568974555,0.231107622,1.505748749,0.204150714,Original,Random
Baseline,0.646373391,0.471129119,1.424720883,0.421354566,Original,Original
BALM,0.72820276,0.671196222,1.138513565,0.624815641,Original,Original
BALM+PEFT,0.773025393,0.767072737,0.98483026,0.723544711,Original,Original
BALM,0.500985682,0.01424017,1.555484176,0.003035885,Random,Random
BALM+PEFT,0.529272795,0.082750946,1.566450238,0.087817107,Random,Random
Baseline,0.527298212,0.062618025,1.553152442,0.084808624,Random,Random
