protein,drug,label,prediction
,CCC(=O)NC[C@@H]1CN(C2=C3C(=CN=C2)C=CC=C3)C(=O)[C@]12CCCN(S(=O)(=O)CC1(C#N)CC1)C2,5.14,3.3338945
,ClCC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,4.7,5.1859465
,CN1C(=O)N(C2=C3C=CC=CC3=CN=C2)C(=O)C12CN(CC1=CC=CC=C1)C2,5.4,2.7208414
,CNC(=O)C1(N2Cc3ccc(Cl)cc3[C@@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,7.3,5.9723625
,Clc1cccc(CC(=O)Nc2cnc3ccccn23)c1,5.1,5.1320724
,COc1cc2cncc(CC(=O)N(Cc3cccc(Cl)c3)c3ccc(N(C)C)cn3)c2cc1OC,5.84,5.2283673
,O=C(Cc1cncc2ccccc12)N1CCCC[C@@H]1c1cncs1,4.49,4.2903776
,CCC(=O)Nc1ccc(cc1)N(Cc2ccccc2)C(=O)Nn3c4ccccc4nn3,8.428654,6.237284
,OC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,5.1,6.212852
,Clc1ccc2c(c1)C(CNCc1cn(CC3CCOC3)nn1)(C(=O)Nc1cncc3ccccc13)CCO2,5.2,6.044153
,c1ccc2c(c1)cncc2NC(=O)C3CCCc4c3cc(cc4)Cl,9.5383625,7.2897353
,C[C@@H](CO)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,6.32,5.6325517
,CN(C)c1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc23)cc1,5.3,5.3924904
,O=C(Cc1cncc2ccccc12)N1CC[C@@](F)(c2ccccc2)C1,4.63,4.8498926
,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,4.8,6.0956297
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(S(=O)(=O)CC1(C#N)CCS(=O)(=O)CC1)C2,6.9,6.4522405
,Cc1nc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)cs1,6.0,5.57456
,CNC(=O)CN1CC(C)(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2S1(=O)=O,6.8,5.981607
,Clc1ccc2c(c1)C1(CN(S(=O)(=O)CC#N)C2)CCN(c2cncc3ccccc23)C1=O,6.1,6.605405
,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(OC2CCC(=O)N2)c1,4.1,5.619748
