protein,drug,label,prediction
,CCC(=O)NC[C@@H]1CN(C2=C3C(=CN=C2)C=CC=C3)C(=O)[C@]12CCCN(S(=O)(=O)CC1(C#N)CC1)C2,5.14,5.974082
,ClCC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,4.7,7.308606
,CN1C(=O)N(C2=C3C=CC=CC3=CN=C2)C(=O)C12CN(CC1=CC=CC=C1)C2,5.4,5.0121756
,CNC(=O)C1(N2Cc3ccc(Cl)cc3[C@@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,7.3,5.90954
,Clc1cccc(CC(=O)Nc2cnc3ccccn23)c1,5.1,5.2991457
,COc1cc2cncc(CC(=O)N(Cc3cccc(Cl)c3)c3ccc(N(C)C)cn3)c2cc1OC,5.84,6.5413723
,O=C(Cc1cncc2ccccc12)N1CCCC[C@@H]1c1cncs1,4.49,4.7454863
,CCC(=O)Nc1ccc(cc1)N(Cc2ccccc2)C(=O)Nn3c4ccccc4nn3,8.428654,5.4368744
,OC(=O)CN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,5.1,6.896207
,Clc1ccc2c(c1)C(CNCc1cn(CC3CCOC3)nn1)(C(=O)Nc1cncc3ccccc13)CCO2,5.2,5.4140177
,c1ccc2c(c1)cncc2NC(=O)C3CCCc4c3cc(cc4)Cl,9.5383625,6.667733
,C[C@@H](CO)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,6.32,6.365282
,CN(C)c1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc23)cc1,5.3,7.0475416
,O=C(Cc1cncc2ccccc12)N1CC[C@@](F)(c2ccccc2)C1,4.63,4.834087
,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,4.8,6.4211864
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(S(=O)(=O)CC1(C#N)CCS(=O)(=O)CC1)C2,6.9,6.456012
,Cc1nc(CN2CC(C(=O)Nc3cncc4ccc(F)cc34)c3cc(Cl)ccc3C2)cs1,6.0,6.4909487
,CNC(=O)CN1CC(C)(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2S1(=O)=O,6.8,6.6065435
,Clc1ccc2c(c1)C1(CN(S(=O)(=O)CC#N)C2)CCN(c2cncc3ccccc23)C1=O,6.1,6.57404
,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(OC2CCC(=O)N2)c1,4.1,6.205679
,Clc1ccc2c(c1)C(C(=O)N(C(=O)C=C)c1cncc3ccccc13)CO2,7.4,6.574968
,c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(c(c4)F)Cl,9.346996,6.701374
,c1ccc(c(c1)NC(=O)Nc2cccc(c2)C(F)(F)F)Sc3ncc(s3)[N+](=O)[O-],9.660406,5.200778
,CC(C)(C)c1ccc(N(C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C(=O)c2cn3ccccc3n2)cc1,4.7,5.64691
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(S(=O)(=O)CC1(C#N)CNC1)C2,6.8,6.5039415
,Clc1ccc(C2NC(=O)N(c3cncc4ccccc34)C2=O)cc1Cl,5.1,5.658332
,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,5.4,6.159133
,CCOc1cccc(CNC(=O)CN2C[C@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2)c1,7.08,6.7347517
,Cn1c(=O)ccn(c1=O)CC(=O)NC(c2cccc(c2)Cl)C(=O)Nc3cncc4c3cccc4,7.8021154,5.6608734
,Clc1ccc2c(c1)C(C(=O)Nc1cnc3ccccn13)CNC2=O,5.2,5.7900915
,COc1ccccc1CC(=O)Nc1cncc2ccccc12,4.5,5.501972
,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)c3ccc(cc3)C4(CCO4)C,7.8162117,5.5611954
,CN(C)CCN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,4.67,6.2512236
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(C(=O)C1CC1)C2,6.3,6.5281267
,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CNS(C)(=O)=O)c1,4.8,5.8464203
,c1cc(cc(c1)CN2CCN(CC2)C(=O)CCl)CNC(=O)N3CCOCC3,7.2982807,5.8173857
,COC(=O)CCSc1cc(Cl)ccc1N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1ccco1,4.8,6.4481783
,Clc1ccc2c(c1)[C@H](C(=O)Nc1cncc3ccccc13)CN([C@@H]1CCNC1=O)C2,5.4,6.088275
,Cc1cccc2[nH]c(CNC(=O)c3cncc4ccccc34)cc12,4.87,5.5141163
,CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,5.17,6.106154
,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(S(=O)(=O)N1CCOCC1)C2,6.9,6.4562616
,c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)N5CCN(CC5)CC(CO)(F)F,8.03349,5.8697233
,Clc1cccc(CC(=O)Nn2cnc3ccccc3c2=O)c1,5.1,5.835812
,Fc1ccc2c(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)c4ccc(Cl)cc43)cncc2c1,6.3,5.834094
,CC(C)Oc1ccc(N(C(C(=O)NCCc2ccon2)c2cccnc2)C(=O)c2cocn2)cc1,5.2,5.288073
,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)c4ccc(Cl)cc43)cncc2c1,6.7,6.3054905
,CS(=O)(=O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,4.8,6.354888
,O=C(Cc1cncc2ccccc12)N1CCC(C2CCCC2)CC1,5.35,4.9960613
,COC(=O)C(C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(C(C)(C)C)cc1)c1cccnc1,5.1,5.3968816
,Clc1ccc2c(c1)C1(CN(S(=O)(=O)CC3(C#N)CC3)C2)CCN(c2cncc3ccc(Cl)cc23)C1=O,6.1,7.139448
,CNc1ccc(cc1)N(Cc2ccsc2)C(=O)Cn3c4ccccc4nn3,7.728696,6.255716
,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)CNS(=O)(=O)C,7.4919906,5.84642
,O=C(Cc1cncc2ccccc12)N1CCC[C@H]1CN1CCC(F)(F)CC1,4.47,4.9194207
,c1cc2c(c(c1)Br)N(C(=O)C2=O)Cc3ccc(cc3F)C#N,7.844953,7.3740463
,Cc1ccncc1NC(=O)C(c2cccc(c2)Cl)C(=O)c3cc(=O)[nH]c4c3cccc4,7.640688,6.1390147
