protein,drug,label,prediction
,Cc1ccc(-c2ccsc2C(=O)N2CCC(C(=O)N3CCC(O)(Cn4cnc5c(ccn5C)c4=O)CC3)C(c3ccccc3)C2)cn1,6.113509,7.8503523
,C=Cn1c(C(=O)N2CC[C@H](C(=O)N3CCC(O)(Cn4cnc5c(ccn5C)c4=O)CC3)[C@H](c3ccccc3)C2)cc2ccccc21,6.468521,6.943225
,Cc1nc(-c2ccc(N(C)C)nc2)sc1C(=O)N1CCC(C(=O)N2CCC(O)(Cn3cnc(Oc4ccc(F)cc4)c(N)c3=O)CC2)C(c2ccccc2)C1,8.192465,7.5209455
,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)[C@H]5C[C@H]5C4=O)sc23)c1C[C@H]1OCCN[C@@H]1C,8.823909,7.7518873
,O=C(Nc1cccc(CN2CCCC2)c1)c1ccc2c(Cl)c3c(nc2c1)CCCC3,5.086186,4.927867
,O=C(C1CCNCC1c1ccccc1)N1CCC(O)(Cn2cnc3c(cnn3-c3ccccc3)c2=O)CC1,7.276544,7.3870077
,Cn1ccc2c(=O)n(CC3(O)CCN(C(=O)C4CCN(C(=O)c5ccc(-c6cnccc6Cl)s5)CC4c4ccccc4)CC3)cnc21,7.387216,7.822092
,N#Cc1cc(C(=O)Nc2ccc3c(c2)S(=O)(=O)CC3)sc1Sc1c(Cl)cncc1Cl,6.8860564,5.948779
,Nc1c(Oc2cccc(CO)c2)ncn(CC2(O)CCN(C(=O)C3CCC(F)(F)CC3c3ccccc3)CC2)c1=O,7.275724,6.5855417
,CNC1CCc2cc(-c3c4ncn(CC5(O)CCN(C(=O)C6CCN(C(=O)c7sc(-c8ccc(C)nc8)nc7C)CC6c6ccccc6)CC5)c(=O)c4nn3C)ccc21,7.9821324,7.98773
,Cc1nn(C(C)c2ccc(Cl)cc2Cl)c2nc(N3CC(C4CCCN(CCO)C4)C3)cnc12,9.0,4.9428473
,CCn1ccc2c(=O)n(CC3(O)CCN(C(=O)C4CCN(C(=O)c5ccc(C)cc5)CC4c4ccccc4)CC3)cnc21,6.853872,7.090458
,Cn1ccc2c(=O)n(CC3(O)CCN(C(=O)C4CCN(C(=O)c5scc(S(C)(=O)=O)c5N)CC4c4ccccc4)CC3)cnc21,6.958607,5.8904023
,CCCN(CCC)CCCNC(=O)c1ccc2c(Cl)c3c(nc2c1)CCCC3,4.623423,4.8451815
,Nc1c(Oc2cccc(O)c2)ncn(CC2(O)CCN(C(=O)C3CCC(F)(F)CC3c3ccccc3)CC2(F)F)c1=O,7.387216,6.271758
,Cc1ccc(-c2ncc(CN3CCC(C(=O)N4CCC(O)(Cn5cnn6c(-c7ccoc7)ccc6c5=O)CC4)C(c4ccccc4)C3)s2)cn1,7.552842,7.8340254
,CC(C)(C)OC(=O)N1CCC(C(=O)N2CCC(O)(Cn3cnc(Oc4cccc(C(F)(F)F)c4)c(N)c3=O)CC2)C(c2ccccc2)C1,6.5243287,7.403843
,CCc1cc(Oc2ncn(CC3(O)CCN(C(=O)C4CCC(F)(F)CC4c4ccccc4)CC3)c(=O)c2N)ccc1Cl,7.0472074,6.809122
,O=C(C1CCC(F)(F)CC1c1cocn1)N1CCC(O)(Cn2cnc3c(-c4ccc(CO)cc4)scc3c2=O)CC1,6.2284126,6.536516
,Oc1ccc(-c2nc(C3CCNCC3)co2)cc1,4.0695605,4.6558046
,CC(C)C(=O)N1CCC(C(=O)N2CCC(O)(Cn3cnc4c(ccn4-c4ccccc4)c3=O)CC2)C(c2ccccc2)C1,6.9871626,7.8371916
,COc1cc(-n2ccc3c(=O)n(CC4(O)CCN(C(=O)C5CCN(Cc6cnc(-c7ccc(C)nc7)s6)CC5c5ccccc5)CC4)cnc32)ccc1F,8.207608,7.694009
,Cc1ccccc1-c1nc(C)c(C(=O)N2CCC(C(=O)N3CCC(O)(Cn4cnc5cccnc5c4=O)CC3)C(c3ccccc3)C2)s1,7.1870866,7.5774555
,Cn1ccc2c(=O)n(CC3(O)CCN(C(=O)C4CCN(C(=O)c5scc(-c6ccncc6)c5F)CC4c4ccccc4)CC3)cnc21,7.6197886,7.8916254
,CC(CC(=O)N1CCC(O)(C(C)n2cnn3cccc3c2=O)CC1)c1ccccc1,6.69897,6.415826
,Cc1nccc(CN2CCC(C(=O)N3CCC(O)(Cn4cnc(Oc5ccc(Cl)cc5)c(N)c4=O)C(F)(F)C3)C(c3ccccc3)C2)n1,7.4145393,6.971366
,C#Cc1cccc(C(=O)N2CCC(C(=O)N3CCC(O)(Cn4cnc5c(ccn5C)c4=O)CC3)C(c3ccccc3)C2)c1,7.1426673,6.5493984
