protein,drug,label,prediction
,Cc1ccc(-c2ccsc2C(=O)N2CCC(C(=O)N3CCC(O)(Cn4cnc5c(ccn5C)c4=O)CC3)C(c3ccccc3)C2)cn1,6.113509,6.8389797
,C=Cn1c(C(=O)N2CC[C@H](C(=O)N3CCC(O)(Cn4cnc5c(ccn5C)c4=O)CC3)[C@H](c3ccccc3)C2)cc2ccccc21,6.468521,6.9925127
,Cc1nc(-c2ccc(N(C)C)nc2)sc1C(=O)N1CCC(C(=O)N2CCC(O)(Cn3cnc(Oc4ccc(F)cc4)c(N)c3=O)CC2)C(c2ccccc2)C1,8.192465,8.185519
,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)[C@H]5C[C@H]5C4=O)sc23)c1C[C@H]1OCCN[C@@H]1C,8.823909,8.384461
,O=C(Nc1cccc(CN2CCCC2)c1)c1ccc2c(Cl)c3c(nc2c1)CCCC3,5.086186,4.7035103
,O=C(C1CCNCC1c1ccccc1)N1CCC(O)(Cn2cnc3c(cnn3-c3ccccc3)c2=O)CC1,7.276544,6.958017
,Cn1ccc2c(=O)n(CC3(O)CCN(C(=O)C4CCN(C(=O)c5ccc(-c6cnccc6Cl)s5)CC4c4ccccc4)CC3)cnc21,7.387216,7.2364097
,N#Cc1cc(C(=O)Nc2ccc3c(c2)S(=O)(=O)CC3)sc1Sc1c(Cl)cncc1Cl,6.8860564,5.8860188
,Nc1c(Oc2cccc(CO)c2)ncn(CC2(O)CCN(C(=O)C3CCC(F)(F)CC3c3ccccc3)CC2)c1=O,7.275724,7.0031157
,CNC1CCc2cc(-c3c4ncn(CC5(O)CCN(C(=O)C6CCN(C(=O)c7sc(-c8ccc(C)nc8)nc7C)CC6c6ccccc6)CC5)c(=O)c4nn3C)ccc21,7.9821324,8.527043
,Cc1nn(C(C)c2ccc(Cl)cc2Cl)c2nc(N3CC(C4CCCN(CCO)C4)C3)cnc12,9.0,4.8893166
,CCn1ccc2c(=O)n(CC3(O)CCN(C(=O)C4CCN(C(=O)c5ccc(C)cc5)CC4c4ccccc4)CC3)cnc21,6.853872,6.7840023
