Model,training_configs.random_seed,train_ratio,test/pearson,test/rmse,test/spearman
BALM,12,0.3,0.8019825220108032,0.7856691479682922,0.7190289988587946
BALM,12,0.2,0.8071188926696777,0.7665455937385559,0.725204166
BALM,12,0.1,0.7773712873458862,0.816902757,0.6765221776109211
BALM,123,0.3,0.7794758081436157,0.8113211989402771,0.7226073631197214
BALM,1234,0.1,0.785787821,0.8047151565551758,0.7407273216454398
BALM,123,0.2,0.813170314,0.78027159,0.7511097847878405
BALM,1234,0.3,0.823468804,0.755289614,0.768791264
BALM,123,0.1,0.7429152131080627,0.8883238434791565,0.693816955
BALM,1234,0.2,0.8021421432495117,0.7989451885223389,0.7497647048565396
GP,1234,0.1,0.8678230445231058,0.5008470416069031,0.846585591
GP,123,0.1,0.8600613350991866,0.5134369730949402,0.8231748241215084
GP,12,0.1,0.8669724175899416,0.5125109553337097,0.8377287243176276
GP,1234,0.2,0.8823462720100427,0.47371944785118103,0.8593940612327464
GP,123,0.2,0.8869892110694766,0.4670356810092926,0.8579997876114661
GP,12,0.2,0.8928355525754064,0.46300026774406433,0.8702217680212083
GP,1234,0.3,0.8928406526199149,0.44645583629608154,0.8642789400930545
GP,123,0.3,0.8994330065611142,0.44267481565475464,0.8700042068597376
GP,12,0.3,0.9090672656971802,0.4368002712726593,0.8905224053031886
