Model,training_configs.random_seed,train_ratio,test/pearson,test/rmse,test/spearman,
BALM,12,0.3,0.8019825220108032,0.7856691479682922,0.7190289988587946,
BALM,12,0.2,0.8071188926696777,0.7665455937385559,0.725204166,
BALM,12,0.1,0.7773712873458862,0.816902757,0.6765221776109211,
BALM,123,0.3,0.7794758081436157,0.8113211989402771,0.7226073631197214,
BALM,1234,0.1,0.785787821,0.8047151565551758,0.7407273216454398,
BALM,123,0.2,0.813170314,0.78027159,0.7511097847878405,
BALM,1234,0.3,0.823468804,0.755289614,0.768791264,
BALM,123,0.1,0.7429152131080627,0.8883238434791565,0.693816955,
BALM,1234,0.2,0.8021421432495117,0.7989451885223389,0.7497647048565396,
GP_ECFP,12,0.3,0.9079478874506128,0.5627192854881287,0.8891931223963978,0.8170196803470939
GP_ECFP,123,0.3,0.8990617022542494,0.5744396448135376,0.8679992023093429,0.8076664675801717
GP_ECFP,1234,0.3,0.8904364143166367,0.588970423,0.862891051,0.7905776002511393
GP_ECFP,12,0.2,0.8908801704462144,0.5969776511192322,0.8687047971323069,0.7905952648438552
GP_ECFP,123,0.2,0.8859829582176338,0.6050630211830139,0.8559825410625058,0.7844728065490194
GP_ECFP,1234,0.2,0.8798868807194005,0.6291871070861816,0.8578725180579507,0.7644305113582079
GP_ECFP,12,0.1,0.86302979,0.6573546528816223,0.8325587757439427,0.7445766643074355
GP_ECFP,123,0.1,0.8571900077686865,0.6683077812194824,0.819546471,0.733814145
GP_ECFP,1234,0.1,0.8674800381736302,0.6568077206611633,0.8434725200946683,0.7457211033316948
GP_ChemBERTa,12,0.3,0.7876453008819593,0.8255074620246887,0.7370206024908984,0.6062117531740872
GP_ChemBERTa,123,0.3,0.7902152426869761,0.8314846754074097,0.7481605042743346,0.5970281541964597
GP_ChemBERTa,1234,0.3,0.7935925503744029,0.8225351572036743,0.75088096,0.5915442473280127
GP_ChemBERTa,12,0.2,0.7715579171710634,0.8469222784042358,0.7201759629834137,0.5785389109757166
GP_ChemBERTa,123,0.2,0.7474288792851991,0.8944476842880249,0.70683106,0.5290109763777122
GP_ChemBERTa,1234,0.2,0.7782548763973969,0.8744170069694519,0.7385759984772721,0.5450154606264678
GP_ChemBERTa,12,0.1,0.7034010545406176,0.9583510756492616,0.6718207160267062,0.4571118246991661
GP_ChemBERTa,123,0.1,0.7437456558350709,0.8801313638687134,0.7013742809837984,0.5383349322057649
GP_ChemBERTa,1234,0.1,0.7378297095167258,0.934294343,0.7089557092242675,0.485481187
